"species","longitude","latitude","gbifID"
"Cacumen expansa",143.38,-36.97,60
"Osmundopsis botryoides",26.8,-31.3,57
"Osmundopsis hillii",-0.58,54.48,53
"Osmundopsis nipponica",100,34.3,52
"Osmundopsis petiolaris",26.8,-31.3,58
"Osmundopsis plectrophora",-23,71,56
"Osmundopsis racemosus",26.8,-31.3,59
"Osmundopsis rafaelii",-70,-42,31
"Osmundopsis rafaelii",-70,-42.85,1433104
"Osmundopsis sturii",116.207,30.452,33
"Osmundopsis sturii",116.311,30.149,34
"Osmundopsis sturii",116.994,30.966,35
"Osmundopsis sturii",118,31.41,36
"Osmundopsis sturii",118.769,32.061,37
"Osmundopsis sturii",37.18,41.2,253296
"Osmundopsis sturii",40.88,25.33,304168
"Osmundopsis zunigai",-69.109,-39.29,1433109
"Osmundopsis zunigai",-69.109,-33.08,1433110
"Todea amissa",-70,-42.3,32
"Todea amissa",-70,-43.92,1072315
"Todea amissa",-70,-43.92,1072440
"Todea amissa",-70,-43.92,1072858
"Todea amissa",-70,-43.92,1073397
"Todea amissa",-70,-43.92,1073655
"Todea amissa",-70,-43.92,1073686
"Todea amissa",-70,-43.92,1073836
"Todea amissa",-70,-43.92,1073911
"Todea amissa",-70,-43.92,1286676
"Todea amissa",-70,-44.05,1459174
"Todites baldonii",-69.5,-48.1,54
"Todites baldonii",-73,-36.8,55
"Todites cacereii",-70,-42,30
"Todites cacereii",-70,-42.85,1433105
"Todites chilensis",-69.13,-23.8,48
"Todites denticulatus",107.9,32.5,1
"Todites denticulatus",104.9,33.4,2
"Todites denticulatus",116.1,39.9,3
"Todites denticulatus",117.9,40.9,4
"Todites denticulatus",129.8,43.3,5
"Todites denticulatus",120.8,41.8,6
"Todites denticulatus",120.8,41.8,7
"Todites denticulatus",124.1,50.4,8
"Todites denticulatus",132.2,46.3,9
"Todites denticulatus",104.4,32.1,10
"Todites denticulatus",105.8,32.4,11
"Todites denticulatus",105.7,31.9,12
"Todites denticulatus",98.6,31.8,13
"Todites denticulatus",-0.614,54.485,14
"Todites denticulatus",-0.44,54.347,15
"Todites denticulatus",-0.334,54.234,16
"Todites denticulatus",139.2,36.6416666666667,42
"Todites denticulatus",119,32,43
"Todites falciformis",-8.7,39.75,44
"Todites fastuosus",100,34.3,40
"Todites goeppertianus",-23,71,49
"Todites hartzi",-23,71,51
"Todites lobatus",57.15,65.05,28
"Todites muelleri",7.78,49.74,29
"Todites nanjingensis",119,32,38
"Todites neiridaniensis",100,34.3,39
"Todites pattinsoniorum",26.8,-32.1,45
"Todites princeps",105.5,30.5,17
"Todites princeps",104.4,32.1,18
"Todites princeps",105.8,32.4,19
"Todites princeps",111.6,31.2,20
"Todites princeps",111.7,30.8,21
"Todites princeps",110.9,30.9,22
"Todites princeps",119.5,29.2,23
"Todites princeps",113.6,28.1,24
"Todites princeps",116.3,30.4,25
"Todites princeps",116.9,30.1,26
"Todites princeps",118.8,32,27
"Todites princeps",117,31,41
"Todites recurvatus",-23,71,50
"Todites williamsoni",-56.9833333333333,-63.7533333333333,46
"Todites williamsoni",-69.1,-38.9,47
