"species","Longitude","Latitude","gbifID"
"Osmunda regalis",4.57952,49.95425,4051184870
"Osmunda regalis",7.49171,48.91163,4051205420
"Osmunda regalis",-0.43431,48.58355,4051215598
"Osmunda regalis",7.31969,48.57283,4051256515
"Osmunda regalis",7.36147,48.58363,4051256958
"Osmunda regalis",4.56938,49.91479,4051266332
"Osmunda regalis",1.66204,45.20944,4050695542
"Osmunda regalis",5.52741,47.17209,4050732467
"Osmunda regalis",-0.44105,48.58724,4050743607
"Osmunda regalis",6.40958,43.26884,4050808682
"Osmunda regalis",4.84544,49.94571,4050830873
"Osmunda regalis",-1.24422,44.70077,4050885122
"Osmunda regalis",2.29803,44.72188,4050929991
"Osmunda regalis",2.65978,49.1546,4050951056
"Osmunda regalis",3.02645,43.59543,4050961840
"Osmunda regalis",6.98195,48.94895,4051013276
"Osmunda regalis",1.70502,48.7437,4051022903
"Osmunda regalis",4.56954,49.91493,4051068517
"Osmunda regalis",9.09187,42.29838,4051096719
"Osmunda regalis",2.18491,44.68512,4051097148
"Osmunda regalis",7.06066,48.58047,4051150058
"Osmunda regalis",7.12119,48.51966,4051178896
"Osmunda regalis",3.83762,44.11074,4051179163
"Osmunda regalis",2.29814,44.71288,4051202811
"Osmunda regalis",-1.47263,48.28948,4051234570
"Osmunda regalis",8.00309,49.01583,4051254723
"Osmunda regalis",9.02061,41.97446,4051264802
"Osmunda regalis",4.08903,44.33062,4051275205
"Osmunda regalis",1.61786,47.60448,4051296117
"Osmunda regalis",0.47817,48.40174,4051312857
"Osmunda regalis",3.49175,47.10088,4050717471
"Osmunda regalis",6.88925,43.47039,4050781521
"Osmunda regalis",7.80109,48.90002,4050826240
"Osmunda regalis",-1.18568,44.78549,4050846884
"Osmunda regalis",-0.92545,43.29003,4050869019
"Osmunda regalis",4.56917,49.91459,4050980634
"Osmunda regalis",1.45875,49.3654,4050981216
"Osmunda regalis",1.72229,48.76367,4051001387
"Osmunda regalis",1.73417,48.74634,4051001506
"Osmunda regalis",9.147,42.20092,4051001905
"Osmunda regalis",1.77911,48.67363,4051021198
"Osmunda regalis",2.53793,44.8209,4051430396
"Osmunda regalis",5.24906,45.2481,4051430631
"Osmunda regalis",7.12143,48.446,4051491407
"Osmunda regalis",6.74956,48.19074,4051512318
"Osmunda regalis",4.79139,49.93907,4051512373
"Osmunda regalis",2.24093,44.74685,4051513193
"Osmunda regalis",2.98319,42.49059,4051523033
"Osmunda regalis",4.09876,44.34355,4051552360
"Osmunda regalis",-0.51302,48.61042,4051573150
"Osmunda regalis",1.69476,48.74455,4051654123
"Osmunda regalis",4.57895,49.95414,4051697274
"Osmunda regalis",7.06084,48.58026,4051716607
"Osmunda regalis",1.45994,49.36646,4051716629
"Osmunda regalis",3.52213,47.85518,4051724763
"Osmunda regalis",6.86251,43.47869,4050706795
"Osmunda regalis",3.03184,49.28693,4051520155
"Osmunda regalis",1.71319,48.71743,4050756947
"Osmunda regalis",2.77772,43.55147,4051559599
"Osmunda regalis",7.06108,48.57996,4051559953
"Osmunda regalis",-3.72836,48.361,4050778986
"Osmunda regalis",4.56941,49.91473,4051589767
"Osmunda regalis",4.00573,47.34508,4051599996
"Osmunda regalis",0.89411,43.09662,4051600108
"Osmunda regalis",8.7764,42.25064,4051610209
"Osmunda regalis",2.27323,44.68572,4051610282
"Osmunda regalis",3.08548,42.43144,4050823205
"Osmunda regalis",0.89435,43.09656,4050833264
"Osmunda regalis",2.77807,43.55244,4051631192
"Osmunda regalis",4.56913,49.91449,4050865664
"Osmunda regalis",2.42766,47.28207,4050866020
"Osmunda regalis",4.56951,49.91468,4050866184
"Osmunda regalis",4.56922,49.91491,4050876685
